"","id","trial","x","y","z","out","cond"
"1071",27,15,3,4,4,24,"active"
"1072",27,16,4,2,2,22,"active"
"1073",27,17,4,2,4,24,"active"
"1074",27,18,4,4,2,28,"active"
"1075",27,19,2,3,3,14,"active"
"1076",27,20,2,2,4,12,"active"
"1077",27,21,2,4,3,17,"active"
"1078",27,22,4,2,3,23,"active"
"1079",28,1,3,4,4,24,"active"
"1080",28,2,3,3,3,20,"active"
"1081",28,3,3,2,4,22,"active"
"1082",28,4,2,3,4,17,"active"
"1083",28,5,3,2,2,16,"active"
"1084",28,6,4,3,3,26,"active"
"1085",28,7,3,4,3,21,"active"
"1086",28,8,3,3,2,17,"active"
"1087",28,9,2,2,4,16,"active"
"1088",28,10,4,2,4,28,"active"
"1089",28,11,4,4,2,24,"active"
"1090",28,12,2,3,3,14,"active"
"1091",28,13,4,2,3,25,"active"
"1092",28,14,2,2,3,13,"active"
"1093",28,15,2,4,3,15,"active"
"1094",28,16,3,2,3,19,"active"
"1095",28,17,4,3,4,29,"active"
"1096",28,18,4,4,4,30,"active"
"1097",28,19,2,4,2,12,"active"
"1098",28,20,4,2,2,22,"active"
"1099",28,21,3,4,2,18,"active"
"1100",28,22,2,2,2,10,"active"
"1101",29,1,3,3,4,26,"active"
"1102",29,2,3,3,2,14,"active"
"1103",29,3,2,3,3,19,"active"
"1104",29,4,2,2,2,10,"active"
"1105",29,5,2,4,3,22,"active"
"1106",29,6,4,2,3,18,"active"
"1107",29,7,3,4,2,17,"active"
"1108",29,8,2,3,2,13,"active"
"1109",29,9,4,4,3,24,"active"
"1110",29,10,3,2,2,11,"active"
"1111",29,11,4,3,2,15,"active"
"1112",29,12,2,2,4,22,"active"
"1113",29,13,2,2,3,16,"active"
"1114",29,14,3,2,3,17,"active"
"1115",29,15,2,4,4,28,"active"
"1116",29,16,3,4,3,23,"active"
"1117",29,17,2,4,2,16,"active"
"1118",29,18,4,3,3,21,"active"
"1119",29,19,3,3,3,20,"active"
"1120",29,20,3,2,4,23,"active"
"1121",29,21,4,3,4,27,"active"
"1122",29,22,2,3,4,25,"active"
"1189",30,1,3,2,2,11,"active"
"1190",30,2,2,3,3,19,"active"
"1191",30,3,4,2,2,12,"active"
"1192",30,4,3,4,3,26,"active"
"1193",30,5,2,4,4,28,"active"
"1194",30,6,3,2,3,14,"active"
"1195",30,7,2,2,4,16,"active"
"1196",30,8,4,4,2,24,"active"
"1197",30,9,4,4,3,27,"active"
"1198",30,10,3,4,2,23,"active"
"1199",30,11,2,4,2,22,"active"
"1200",30,12,2,4,3,25,"active"
"1201",30,13,2,2,2,10,"active"
"1202",30,14,3,3,4,23,"active"
"1203",30,15,4,3,4,24,"active"
"1204",30,16,4,3,3,21,"active"
"1205",30,17,4,3,2,18,"active"
